id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088000000001,Private room,70,2,166,13/06/19,1.66,1,312
62452,A SpeciaL!! Private Room in NY,303939,Lissette,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,25/06/19,1.85,6,360
62461,B NYC Staten Alternative...,303939,Lissette,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,10/06/19,1.44,6,0
62787,C Private Room By The Ferry,303939,Lissette,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,02/07/19,1.71,6,320
63320,D Private Che@p Room 2 Explore NYC,303939,Lissette,Staten Island,Tompkinsville,40.634809999999995,-74.08519,Private room,36,2,333,02/07/19,3.19,6,340
214917,New Clean Spacious Bed & Breakfast,1109658,Carmel,Staten Island,Emerson Hill,40.60742,-74.14388000000001,Private room,80,2,2,08/02/18,0.05,1,158
225976,Sunny cozy multileveled apartment!,1177947,Marina,Staten Island,Shore Acres,40.61077,-74.06824,Entire home/apt,75,6,76,13/06/19,0.8,1,278
258838,"Oceanview,close to Manhattan",1360198,Marina,Staten Island,Arrochar,40.59251,-74.06479,Entire home/apt,250,2,21,22/05/19,0.26,4,333
258876,"Affordable rooms,all transportation",1360198,Marina,Staten Island,Arrochar,40.59101,-74.06685,Private room,50,7,0,,,4,189
259946,"Budget stay, near transportation",1360198,Marina,Staten Island,Arrochar,40.592620000000004,-74.06659,Entire home/apt,125,2,8,19/05/19,0.09,4,353
310272,"Private Room in Artist's Home, Stapleton, SI",1390555,Jonathan,Staten Island,Clifton,40.62318,-74.07848,Private room,59,1,50,03/06/19,0.56,1,352
375249,Enjoy Staten Island Hospitality,1887999,Rimma & Jim,Staten Island,Graniteville,40.62109,-74.16534,Private room,20,3,80,26/05/19,0.92,1,226
386555,A PLACE TO STAY CLOSE TO MANHATTAN,773928,Nen,Staten Island,Stapleton,40.62766,-74.07988,Private room,110,2,6,01/01/19,0.19,1,363
503460,Spacious Apartment w extra room,2483236,Caitlin,Staten Island,New Springville,40.59274,-74.16178000000001,Private room,68,2,11,22/10/18,0.24,1,88
639199,"Beautiful 4BR/4BA Home, Staten Island, NY City.",1483081,Marina,Staten Island,Tottenville,40.50868,-74.23986,Entire home/apt,299,3,59,08/07/19,0.82,1,245
644575,Enjoy and discover New York Citi,15523,Vadim,Staten Island,Tompkinsville,40.63358,-74.0833,Private room,71,2,23,07/10/18,0.33,2,352
681805,NEAR THE CITY THAT NEVER SLEEPS!,3375455,Maria,Staten Island,Mariners Harbor,40.62879,-74.16062,Private room,54,2,48,11/06/19,0.59,1,232
705749,Room Available Close to Manhattan-A,3625735,Marianne,Staten Island,Concord,40.60183,-74.08953000000001,Private room,75,30,59,30/03/19,0.72,2,354
712136,Room Available-Close to Manhattan-B,3625735,Marianne,Staten Island,Concord,40.602129999999995,-74.0893,Private room,75,30,36,29/08/17,0.44,2,362
738588,"Wedding guests accommodations, 3-7 bedrooms",1360198,Marina,Staten Island,Arrochar,40.59193,-74.06475999999999,Entire home/apt,625,4,1,01/11/15,0.02,4,335
826307,"Near Manhatten, NEW Empire Outlets, park!",4192794,Anna,Staten Island,Tompkinsville,40.63132,-74.08799,Private room,47,1,20,06/11/16,0.26,1,323
1059531,Staten Island 1st floor Apartment,7875272,Mary,Staten Island,Port Richmond,40.629220000000004,-74.13354,Entire home/apt,221,30,0,,,3,0
1096326,"Private studio in staten island 

",6024006,Johnny,Staten Island,St. George,40.64699,-74.08151,Entire home/apt,190,2,0,,,1,365
1598033,Staten Island Apartment - 2nd floor,7875272,Mary,Staten Island,Port Richmond,40.62947,-74.13378,Entire home/apt,250,30,1,07/10/15,0.02,3,0
1665498,"3rd FL, Private Suite w Own Bath & Study Area",8821936,Lynn,Staten Island,Shore Acres,40.61135,-74.06356,Entire home/apt,75,3,19,30/05/19,0.28,1,258
