id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44096,Room with a View,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184000000001,Private room,40,1,219,04/07/19,2.04,3,353
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,30/06/19,1.45,3,323
63588,LL3,295128,Carol Gloria,Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,0,,,7,349
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,310670,Vie,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,27/06/19,0.5,13,365
71812,Condo Apartment with laundry in unit,369015,Thai,Bronx,Kingsbridge,40.87207,-73.90193000000001,Entire home/apt,90,30,4,02/01/19,0.35,2,346
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,716306,"Dee, Dre & Mama Shelley",Bronx,Woodlawn,40.89747,-73.8639,Entire home/apt,77,1,197,23/06/19,2.49,1,309
169306, Affordable & Cozy ,806214,Vanessa,Bronx,University Heights,40.858109999999996,-73.90675,Private room,37,4,117,21/05/19,1.21,1,232
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Bronx,Allerton,40.86466,-73.85709,Entire home/apt,125,2,271,20/06/19,2.84,2,347
206071,Yankee Stadium Oasis 2 stops to Manhattan!,12221,Lori,Bronx,Concourse Village,40.82802,-73.92039,Private room,50,3,258,25/06/19,2.7,2,276
230854,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,12221,Lori,Bronx,Concourse,40.830009999999994,-73.92158,Private room,50,5,235,29/06/19,2.49,2,271
245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,Bronx,Kingsbridge,40.8679,-73.90023000000001,Private room,42,2,108,19/06/19,1.36,2,302
267535,Home Away From Home-Room in Bronx,1402951,Clara,Bronx,Wakefield,40.89557,-73.8447,Private room,50,2,15,09/06/19,0.17,1,337
385824,New York City- Riverdale Modern two bedrooms unit,1931205,Orit,Bronx,Spuyten Duyvil,40.879909999999995,-73.91673,Entire home/apt,120,2,47,03/07/19,1.22,1,318
444430,comfy room minutes from museums,420542,Danielle,Bronx,Mott Haven,40.81128,-73.92399,Private room,49,1,23,27/03/18,0.27,1,333
449680,Artfully Decorated 2 Bedroom Apt,1812871,Karen,Bronx,Longwood,40.816109999999995,-73.89909,Entire home/apt,100,5,82,15/12/18,0.96,1,63
498120,Hi Traveler.. welcome,2459648,Ellen,Bronx,Allerton,40.8687,-73.8524,Private room,35,7,2,23/07/18,0.17,1,90
506575,Bronx Room Near Yankees + Harlem,2001830,Jose And Ysaira,Bronx,Morris Heights,40.84937,-73.91328,Private room,45,3,190,06/06/19,2.21,2,329
525293,Yankee Nest,2556498,Chris,Bronx,Concourse,40.82822,-73.92439,Entire home/apt,250,3,119,01/07/19,1.41,1,339
715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square,3684360,Enrique,Bronx,Allerton,40.859559999999995,-73.87066999999999,Private room,39,2,169,12/06/19,2.07,4,306
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Enrique,Bronx,Allerton,40.8584,-73.86969,Entire home/apt,49,2,189,23/06/19,2.32,4,238
773041,Nice beautiful room In the Bronx,3684360,Enrique,Bronx,Allerton,40.859140000000004,-73.86979000000001,Private room,38,1,187,23/06/19,2.34,4,241
781486,Spacious room in historic house,2723812,Libertad,Bronx,Port Morris,40.80461,-73.92276,Private room,60,3,86,12/12/17,1.13,2,1
791452,Jazzy condo in Riverdale -fresh grown veggies,2556784,Claudia,Bronx,Fieldston,40.887570000000004,-73.90522,Entire home/apt,60,1,25,05/07/19,0.67,1,311
858695,Very Large Private Room on quiet st,4494343,Douglas,Bronx,Mount Eden,40.840579999999996,-73.91382,Private room,30,2,291,20/06/19,3.69,1,208
958444,Great 1BD waterfront City Island NY,5214644,Noelva,Bronx,City Island,40.85235,-73.78873,Entire home/apt,84,3,67,10/06/18,0.91,1,0
1026683,Mi Casa Tu Casa Guesthouse Mexico ,5652395,Julio,Bronx,Concourse,40.81906,-73.92806,Private room,85,2,11,02/09/18,0.18,2,363
1187643,PRIVATE ROOM IN NYC ARTIST LOFT,6494389,Daniel,Bronx,Port Morris,40.80904,-73.93037,Private room,65,2,64,20/06/19,0.87,1,307
1278784,Private room minutes from midtown!,6959061,Roque,Bronx,Mott Haven,40.812909999999995,-73.90772,Private room,60,2,147,24/06/19,2.02,1,213
1347175,NYC from River dale's Perspective,7309046,Bojana,Bronx,Kingsbridge,40.88166,-73.91103000000001,Private room,90,3,0,,,1,353
1490223,Private Bed & Bath in a townhouse:Charm-Calm-Cozy-,6586128,Martine,Bronx,Port Morris,40.80011,-73.9133,Private room,60,21,19,02/01/19,0.28,2,178
1693028,Private Room with adjoining bathroom,8918030,Theodore,Bronx,Williamsbridge,40.88296,-73.86264,Private room,50,1,19,30/03/19,0.83,1,311
1739847,Welcome to a beautiful Quiet Bronx.,8989844,Ronald,Bronx,Soundview,40.82138,-73.87603,Private room,45,3,53,18/08/18,0.82,1,249
1747833,Affordable Clean Private Room NYC  ,9197101,Alex Nova York,Bronx,Mount Eden,40.84367,-73.91718,Private room,43,2,11,28/09/14,0.16,1,338
1798500,DOMINIQUE'S NY*Wanderlust room/Metro/Bronx Zoo/Gdn,310670,Vie,Bronx,Co-op City,40.863170000000004,-73.82494,Private room,75,2,32,01/01/19,0.46,13,363
1934765,"One Bedroom Apt, Suitable for Two",10012271,Karmesha,Bronx,Parkchester,40.83645,-73.86634000000001,Entire home/apt,195,5,1,01/01/15,0.02,1,0
1936633,Great 1BD waterfront City Island NY,10018391,Alex,Bronx,City Island,40.852579999999996,-73.78761999999999,Entire home/apt,120,3,84,01/12/18,1.26,1,16
1956677,"The ""Humphrey Bogart""",120623,David,Bronx,Port Morris,40.808440000000004,-73.92889,Entire home/apt,140,30,16,26/09/18,0.24,1,365
2008227,Private Studio in Private Home,9539641,Dianne,Bronx,North Riverdale,40.90804,-73.90005,Private room,53,2,143,30/06/19,2.13,1,263
2062630,Large 1 bedroom apartment (shared),6313448,Lexy,Bronx,Bronxdale,40.85667,-73.86543,Entire home/apt,80,1,1,19/08/14,0.02,1,0
2082328,Comfy & Spacious Room next to the Subway/Metro,9947836,Jenny,Bronx,Longwood,40.82347,-73.89495,Private room,65,4,26,28/05/19,0.85,2,7
2223628,Haus of Taylor (Bronx Prohibition),11342593,Emery,Bronx,Kingsbridge,40.864670000000004,-73.90125,Private room,75,2,11,06/12/15,0.2,1,365
2296024,Three bedroom upscale condo,2321783,Donna,Bronx,Riverdale,40.88579,-73.91599000000001,Entire home/apt,250,7,2,02/01/19,0.04,1,338
2392296,"A Simple, Calm Space",10510181,Août,Bronx,Kingsbridge,40.884370000000004,-73.89746,Shared room,32,2,6,22/09/16,0.16,1,83
2435198,"Lovely Private Bedroom in Vibrant Bronx, NY",12446529,Migdalia,Bronx,Soundview,40.82528,-73.86004,Private room,50,2,32,07/04/19,0.51,2,156
2545184,Great room! Good for med students!,4096786,Nicolas,Bronx,Norwood,40.87605,-73.88046999999999,Private room,70,6,40,01/03/19,0.73,1,313
2618288,Tour like a local,13408910,Tmc,Bronx,Concourse,40.83012,-73.92714000000001,Private room,41,2,12,01/01/18,0.35,2,0
2628191,Charming Cozy Cool 2BR Apartment. ,12360441,Angel,Bronx,Co-op City,40.86646,-73.82154,Private room,80,3,2,13/10/15,0.03,1,365
2669366,"Priv. Room in a House,15min,Manhatt",13664245,Denise,Bronx,Claremont Village,40.84192,-73.91108,Private room,40,3,46,31/05/19,0.72,2,292
2719640,"Independant Suite in townhouse: Big, Bright & Calm",6586128,Martine,Bronx,Port Morris,40.800909999999995,-73.91449,Private room,71,4,18,30/12/18,0.37,2,45
2772111,It's very warm and friendly.,14176488,Ada Azra,Bronx,Fordham,40.86705,-73.88545,Shared room,55,7,10,13/10/18,0.16,1,365
2814931,Large New York style loft ,14399467,Caroline,Bronx,Port Morris,40.80554,-73.92605999999999,Entire home/apt,120,4,89,11/11/17,1.54,2,0
2848235,Perfect room for one in beautiful home,13649613,"Rossy,  Carmen And Juan",Bronx,University Heights,40.85711,-73.91594,Private room,44,2,135,16/06/19,2.13,4,70
3039110,The proud New Yorker Room,8159536,Genae,Bronx,Concourse Village,40.832879999999996,-73.91834,Private room,50,1,21,02/06/19,0.36,3,188
