id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,01/07/19,2.25,1,215
18198,Little King of Queens,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,31/05/19,0.22,1,324
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,19/09/11,0.01,1,1
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,12/04/19,0.26,1,126
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,12/05/19,0.11,5,365
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,20/05/19,0.49,2,365
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.717220000000005,-73.87856,Entire home/apt,98,30,33,09/05/15,0.31,5,240
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,08/10/15,0.06,5,365
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,27/04/19,0.38,5,365
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,17/06/19,0.16,1,292
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,Ridgewood,40.70411,-73.89934000000001,Entire home/apt,140,14,1,17/09/12,0.01,5,365
63360,Safe cute near subway& Manhattan NY NY retro style,307962,Dennis & Naoko,Queens,Astoria,40.753840000000004,-73.91433,Entire home/apt,99,5,441,24/06/19,4.5,1,226
74680,One Bedroom Mini studio - Free WIFI,265109,Nazleen,Queens,Astoria,40.77635,-73.93426,Entire home/apt,115,2,198,31/05/19,2.01,1,257
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",35375,Savannah,Queens,Astoria,40.759609999999995,-73.91117,Private room,80,1,42,06/07/19,1.21,2,365
100184,Bienvenue,526653,,Queens,Queens Village,40.72413,-73.76133,Private room,50,1,43,08/07/19,0.45,1,88
105469,Oceanfront Apartment in Rockaway,547386,Michelle,Queens,Rockaway Beach,40.58615,-73.81245,Private room,70,27,13,21/09/15,0.13,1,335
115748,1 BDRM Apt-Weekend Sublease,585166,Lilly,Queens,Astoria,40.764340000000004,-73.92132,Entire home/apt,110,4,30,16/06/19,0.32,1,363
